client_id,requests_per_minute,requests_per_5_min,requests_per_hour,unique_hash_count,duplicate_ratio,pow_attempt_rate,hash_diversity,upload_to_query_ratio,inter_request_time_variance,burst_score,session_duration,cross_user_hash_overlap,is_anomaly,attack_label
casa1,0,15000,15000,1528,0.8981333333333333,0.8981333333333333,0.10186666666666666,1528.0,2.7085275232895468e-06,0.0,4.735837772,0,True,ownership_fraud
casa2,0,15000,15000,2255,0.8496666666666667,0.8496666666666667,0.15033333333333335,2255.0,1.4129092652963636e-06,0.0,2.4229331690003164,0,True,ownership_fraud
casa3,0,15000,15000,2181,0.8546,0.8546,0.1454,1089.5,2.4245119257204585e-06,0.0,4.258584143011831,0,True,ownership_fraud
casa4,0,15000,15000,3644,0.7565333333333333,0.7565333333333333,0.24293333333333333,53.507462686567166,2.0022143977986353e-06,0.0,3.4901216969883535,0,True,ownership_fraud
casa5,0,15000,15000,2328,0.8448,0.8448,0.1552,2328.0,1.0993798637762722e-06,0.0,2.022894782014191,0,True,ownership_fraud
casa6,0,15000,15000,1222,0.9185333333333333,0.9185333333333333,0.08146666666666667,1222.0,2.512643434727542e-06,0.0,4.426798454020172,0,True,ownership_fraud
casa7,0,15000,15000,1319,0.9120666666666667,0.9120666666666667,0.08793333333333334,1318.0,2.470075730185541e-06,0.0,4.252227692981251,0,True,ownership_fraud
casa8,0,13912,13912,1266,0.9072024151811385,0.9072024151811385,0.09100057504312824,15.766233766233766,2.204666320312947e-06,0.0,3.482664921088144,0,True,ownership_fraud
casa9,0,15000,15000,6222,0.4622,0.4622,0.4148,0.9791462217860648,8.549117864776452e-06,0.0,17.055000204010867,0,False,normal
homes10,0,15000,15000,3241,0.7683333333333333,0.7683333333333333,0.21606666666666666,13.126016260162602,8.84792892544495e-06,0.0,15.251660154084675,0,True,ownership_fraud
homes11,0,15000,15000,3613,0.7582,0.7582,0.24086666666666667,12.141304347826088,3.23710970343667e-06,0.0,5.322340396000072,0,True,ownership_fraud
homes12,0,15000,15000,3064,0.7924666666666667,0.7924666666666667,0.20426666666666668,58.86538461538461,9.730618431829015e-06,0.0,16.887443084968254,0,True,ownership_fraud
homes13,0,15000,15000,3262,0.7809333333333334,0.7809333333333334,0.21746666666666667,116.35714285714286,9.393444769969879e-06,0.0,16.15932466404047,0,True,ownership_fraud
homes14,0,15000,15000,3271,0.781,0.781,0.21806666666666666,30.285714285714285,2.6326497664594996e-06,0.0,4.381319847190753,0,True,ownership_fraud
homes15,0,15000,15000,2640,0.824,0.824,0.176,1319.0,3.91231588207341e-06,0.0,6.444960780907422,0,True,ownership_fraud
homes16,0,15000,15000,3775,0.7474666666666666,0.7474666666666666,0.25166666666666665,221.8235294117647,2.8579745504577817e-06,0.0,4.756665220018476,0,True,ownership_fraud
homes17,0,15000,15000,3052,0.7962666666666667,0.7962666666666667,0.20346666666666666,610.2,1.450112522087382e-06,0.0,2.52122833696194,0,True,ownership_fraud
homes18,0,15000,15000,2149,0.8567333333333333,0.8567333333333333,0.14326666666666665,2149.0,4.93939840148272e-06,0.0,8.153896623989567,0,True,ownership_fraud
homes19,0,15000,15000,1871,0.8752666666666666,0.8752666666666666,0.12473333333333333,1870.0,4.510009894099542e-06,0.0,7.525276109110564,0,True,ownership_fraud
homes1,0,15000,15000,3271,0.7818,0.7818,0.21806666666666666,1635.5,1.0563802918202086e-05,0.0,18.430827703792602,0,True,ownership_fraud
homes20,0,15000,15000,2194,0.8520666666666666,0.8520666666666666,0.14626666666666666,27.818181818181817,3.0520838230939443e-06,0.0,4.987377092940733,0,True,ownership_fraud
homes21,0,15000,15000,6815,0.43593333333333334,0.43593333333333334,0.4543333333333333,1.2022384174908902,6.841442472589531e-06,0.0,13.691397805931047,0,False,normal
homes2,0,15000,15000,4218,0.7186666666666667,0.7186666666666667,0.2812,1405.6666666666667,1.0106919652019718e-05,0.0,17.523536199936643,0,True,ownership_fraud
homes3,3192,15000,15000,7921,0.1686,0.1686,0.5280666666666667,0.12028386633129716,2.4749364192186824e-05,0.2128,81.99908262304962,0,True,hash_probing
homes3,0,7873,7873,4877,0.06071383208433888,0.06071383208433888,0.6194589101994157,0.003256003256003256,2.2299290139470173e-05,0.0,51.9959657790605,0,True,hash_probing
homes3,0,3192,3192,1775,0.014724310776942355,0.014724310776942355,0.556077694235589,0.0003180661577608143,2.0661235378811088e-05,0.0,21.999003200093284,0,True,hash_probing
homes4,0,15000,15000,4258,0.7161333333333333,0.7161333333333333,0.28386666666666666,4258.0,1.061745458864919e-05,0.0,19.04634706210345,0,True,ownership_fraud
homes5,0,15000,15000,4155,0.7228666666666667,0.7228666666666667,0.277,2077.5,9.982373113202635e-06,0.0,17.371810800861567,0,True,ownership_fraud
homes6,0,15000,15000,3409,0.7726,0.7726,0.22726666666666667,1704.5,1.064918530830973e-05,0.0,18.7104512732476,0,True,ownership_fraud
homes7,0,15000,15000,3860,0.7426,0.7426,0.25733333333333336,3860.0,1.0409765820881268e-05,0.0,18.182968709152192,0,True,ownership_fraud
homes8,0,15000,15000,5104,0.6597333333333333,0.6597333333333333,0.34026666666666666,5104.0,9.56776325080873e-06,0.0,16.490661849733442,0,True,ownership_fraud
homes9,0,15000,15000,3755,0.7248,0.7248,0.25033333333333335,9.557544757033249,9.930957166809726e-06,0.0,17.449712817091495,0,True,ownership_fraud
ikki10,0,15000,15000,5505,0.6174,0.6174,0.367,22.234817813765183,4.929665141919913e-06,0.0,8.23038391303271,0,True,ownership_fraud
ikki11,0,15000,15000,5716,0.6161333333333333,0.6161333333333333,0.38106666666666666,1.9942797711908475,3.976269801870273e-06,0.0,6.869509551208466,0,True,ownership_fraud
ikki12,0,15000,15000,6336,0.574,0.574,0.4224,113.10714285714286,5.11490426388162e-06,0.0,8.47059038002044,0,True,ownership_fraud
ikki13,0,6272,6272,2416,0.6127232142857143,0.6127232142857143,0.3852040816326531,22.58252427184466,3.3739641217239552e-06,0.0,2.3149856980890036,0,True,ownership_fraud
ikki14,0,339,339,215,0.36578171091445427,0.36578171091445427,0.6342182890855457,215.0,1.7520847105074896e-05,0.0,0.7660874151624739,0,False,normal
ikki15,0,15000,15000,3319,0.7724,0.7724,0.22126666666666667,21.91275167785235,1.351083368857296e-05,0.0,24.554118864703923,0,True,ownership_fraud
ikki16,0,15000,15000,7185,0.5207333333333334,0.5207333333333334,0.479,1436.8,2.9878807264974938e-06,0.0,4.797097561880946,0,True,ownership_fraud
ikki17,0,15000,15000,2996,0.8002666666666667,0.8002666666666667,0.19973333333333335,2996.0,1.4989791877927882e-05,0.0,27.89295986201614,0,True,ownership_fraud
ikki18,0,15000,15000,2764,0.8157333333333333,0.8157333333333333,0.18426666666666666,2764.0,1.4260782113461122e-05,0.0,26.167683709878474,0,True,ownership_fraud
ikki19,0,15000,15000,3688,0.754,0.754,0.24586666666666668,1844.0,1.2380784190365447e-05,0.0,21.9526768126525,0,True,ownership_fraud
hm_1,0,15000,15000,2428,0.13173333333333334,0.13173333333333334,0.16186666666666666,0.11202185792349727,1.5537150465152145e-05,0.0,31.769527911,0,True,hash_probing
hm_1,0,1133,1133,480,0.02912621359223301,0.02912621359223301,0.4236540158870256,0.0036496350364963502,1.2028769187070866e-05,0.0,1.7636724430000008,0,True,hash_probing
mds_0,0,15000,15000,2974,0.7818666666666667,0.7818666666666667,0.19826666666666667,2.809080325960419,2.0840852262406458e-05,0.0,53.40486679399328,0,True,ownership_fraud
mds_0,0,6813,6813,993,0.8935857918684867,0.8935857918684867,0.1457507705856451,725.0,2.0174782749140614e-05,0.0,23.404331536003156,0,True,ownership_fraud
mds_1,0,15000,15000,8483,0.0322,0.0322,0.5655333333333333,0.06227133030879555,1.7472724894061628e-05,0.0,35.61482734899619,0,True,hash_probing
mds_1,0,3003,3003,1562,0.0,0.0,0.5201465201465202,0.0,1.4853048474380922e-05,0.0,5.6124563300109,0,True,hash_probing
prn_0,0,15000,15000,3895,0.7376,0.7376,0.25966666666666666,6.983772819472617,1.6655316597046545e-05,0.0,34.56590499699814,0,True,ownership_fraud
prn_0,0,1983,1983,507,0.8502269288956127,0.8502269288956127,0.2556732223903177,297.0,1.717908907006488e-05,0.0,4.564891349989921,0,True,ownership_fraud
prn_1,0,15000,15000,13147,0.007933333333333334,0.007933333333333334,0.8764666666666666,0.06422083959093185,1.4139695612256374e-05,0.0,27.07770609704312,0,True,hash_probing
proj_0,824,15000,15000,3925,0.7150666666666666,0.7150666666666666,0.26166666666666666,1.684673366834171,2.1948639832051837e-05,0.054933333333333334,61.14935499499552,0,True,dedup_dos
proj_0,0,8338,8338,2984,0.6340849124490285,0.6340849124490285,0.3578795874310386,0.9359137055837563,2.1336070947582712e-05,0.0,31.14664863597136,0,True,ownership_fraud
proj_0,0,824,824,761,0.03155339805825243,0.03155339805825243,0.9235436893203883,0.38782608695652177,1.1008703663370182e-05,0.0,1.1406773169874214,0,False,normal
proj_1,0,15000,15000,10445,0.22453333333333333,0.22453333333333333,0.6963333333333334,3.6361100039856518,1.616122396356447e-05,0.0,31.99354203202529,0,False,normal
proj_1,0,1588,1588,1441,0.31045340050377834,0.31045340050377834,0.9074307304785895,12.035714285714286,1.0590684977220264e-05,0.0,1.9857077409978956,0,False,normal
proj_3,6503,14976,14976,5660,0.06931089743589744,0.06931089743589744,0.3779380341880342,0.06624847001223991,1.83032240822324e-05,0.4342280982905983,119.99062088108622,0,True,hash_probing
proj_3,3254,9743,9743,3083,0.0,0.0,0.3164323103766807,0.0,1.0218730570300476e-05,0.33398337267781997,90.21500614797696,0,True,hash_probing
proj_3,24,6527,6527,2077,0.0,0.0,0.3182166385782136,0.0,1.041350708521486e-05,0.003677033859353455,60.21147168800235,0,True,hash_probing
proj_3,0,3254,3254,1026,0.0,0.0,0.3153042409342348,0.0,9.963172841720829e-06,0.0,30.213031789986417,0,True,hash_probing
proj_3,0,24,24,18,0.0,0.0,0.75,0.0,8.534242106466297e-06,0.0,0.21875391795765609,0,True,hash_probing
prxy_0,6900,15000,15000,3669,0.7545333333333333,0.7545333333333333,0.2446,9.958333333333334,1.8697021840802445e-05,0.46,115.73972857405897,0,True,dedup_dos
prxy_0,3182,10719,10719,2784,0.889075473458345,0.889075473458345,0.2597257206828995,98.08333333333333,1.7196411472677673e-05,0.29685605000466464,85.73528565000743,0,True,dedup_dos
prxy_0,0,6900,6900,2150,0.9256521739130434,0.9256521739130434,0.3115942028985507,127.25,1.674815833845156e-05,0.0,55.73128342907876,0,True,ownership_fraud
prxy_0,0,3182,3182,1655,0.9186046511627907,0.9186046511627907,0.5201131363922061,63.75,1.6659999956413812e-05,0.0,25.738442384987138,0,True,ownership_fraud
rsrch_0,0,15000,15000,3783,0.7478,0.7478,0.2522,44.57831325301205,1.2964075392929541e-05,0.0,23.745194186922163,0,True,ownership_fraud
rsrch_1,0,13778,13778,4210,0.6941500943533169,0.6941500943533169,0.3055595877485847,99.33333333333333,1.7244339008168847e-05,0.0,30.816059679025784,0,True,ownership_fraud
rsrch_1,0,364,364,258,0.8901098901098901,0.8901098901098901,0.7087912087912088,40.0,1.7389200541729486e-05,0.0,0.8147780380677432,0,True,ownership_fraud
rsrch_2,0,15000,15000,5960,0.3206,0.3206,0.3973333333333333,0.28657997727559653,2.062676369523136e-05,0.0,44.67641815694515,0,False,normal
rsrch_2,0,8575,8575,3953,0.047113702623906704,0.047113702623906704,0.46099125364431487,0.03156167150612296,1.285648101932891e-05,0.0,14.669676000019535,0,True,hash_probing
src1_0,0,15000,15000,8031,0.0448,0.0448,0.5354,0.2629352137505509,7.309664956029072e-06,0.0,13.274290231987834,0,False,normal
src1_1,0,15000,15000,6842,0.044866666666666666,0.044866666666666666,0.45613333333333334,0.27965344765987854,1.2903036768338386e-05,0.0,25.175768043845892,0,False,normal
src1_2,0,15000,15000,4350,0.6337333333333334,0.6337333333333334,0.29,2.7046527309507753,8.434035451859478e-06,0.0,14.96560166706331,0,True,ownership_fraud
src2_0,0,15000,15000,2439,0.7733333333333333,0.7733333333333333,0.1626,1.5166543301258326,1.4533139997177545e-05,0.0,27.172288571950048,0,True,ownership_fraud
src2_1,0,15000,15000,4116,0.2264,0.2264,0.2744,0.2181398278395969,1.5168044510983462e-05,0.0,29.31298871198669,0,False,normal
src2_2,482,15000,15000,8606,0.082,0.082,0.5737333333333333,0.6249704979938636,2.456117751740505e-05,0.03213333333333333,62.4706623069942,0,True,dedup_dos
src2_2,0,6526,6526,4127,0.08810910205332516,0.08810910205332516,0.6323935029114311,0.47630860828578514,2.5478930728403916e-05,0.0,32.46770299808122,0,False,normal
src2_2,0,482,482,423,0.07261410788381743,0.07261410788381743,0.8775933609958506,0.24860335195530725,2.5449028752902812e-05,0.0,2.462745988043025,0,False,normal
stg_0,0,15000,15000,4234,0.5115333333333333,0.5115333333333333,0.28226666666666667,0.5107216494845361,1.1705744839034741e-05,0.0,21.57302076788619,0,True,ownership_fraud
stg_1,0,15000,15000,5445,0.6366666666666667,0.6366666666666667,0.363,680.25,9.56160904670654e-06,0.0,16.40586326015182,0,True,ownership_fraud
ts_0,0,15000,15000,5078,0.2770666666666667,0.2770666666666667,0.33853333333333335,0.15546084176877997,1.144905954012494e-05,0.0,23.668877606047317,0,True,hash_probing
usr_0,891,15000,15000,3941,0.7053333333333334,0.7053333333333334,0.2627333333333333,1.7017114914425429,2.1680736613320625e-05,0.0594,64.04912156006321,0,True,dedup_dos
usr_0,0,7854,7854,2121,0.7405143875732111,0.7405143875732111,0.2700534759358289,1.3344788087056128,2.184732035015643e-05,0.0,34.043631199980155,0,True,ownership_fraud
usr_0,0,891,891,236,0.8933782267115601,0.8933782267115601,0.2648709315375982,95.0,2.187182638816064e-05,0.0,4.04499032208696,0,True,ownership_fraud
usr_1,0,15000,15000,9012,0.23506666666666667,0.23506666666666667,0.6008,0.4076800392589866,1.8939725990720617e-05,0.0,41.80296636582352,0,False,normal
usr_1,0,4157,4157,3315,0.019966321866730814,0.019966321866730814,0.7974500841953331,0.046762589928057555,1.8279014384074514e-05,0.0,11.79376663081348,0,True,hash_probing
usr_2,0,15000,15000,7750,0.4226666666666667,0.4226666666666667,0.5166666666666667,2.3256528417818743,1.534041151231454e-05,0.0,30.461534753907472,0,False,normal
usr_2,0,335,335,251,0.16119402985074627,0.16119402985074627,0.7492537313432835,0.21645021645021645,1.0598271761998136e-05,0.0,0.46072434401139617,0,False,normal
wdev_0,0,15000,15000,4198,0.574,0.574,0.27986666666666665,0.8849557522123894,1.2459371487113907e-05,0.0,22.94333642697893,0,True,ownership_fraud
wdev_1,0,1053,1053,156,0.8518518518518519,0.8518518518518519,0.14814814814814814,156.0,2.5247836388822313e-05,0.0,5.0645665428601205,0,True,ownership_fraud
wdev_2,0,15000,15000,4141,0.7239333333333333,0.7239333333333333,0.2760666666666667,4141.0,1.5238839526748977e-05,0.0,28.49506856314838,0,True,ownership_fraud
wdev_3,0,680,680,118,0.825,0.825,0.17352941176470588,10.9,2.5147477640517776e-05,0.0,3.5490730106830597,0,True,ownership_fraud
web_0,0,15000,15000,2314,0.8384666666666667,0.8384666666666667,0.15426666666666666,6.790996784565916,2.149211442761512e-05,0.0,56.349679520353675,0,True,ownership_fraud
web_0,0,7026,7026,1240,0.8625106746370623,0.8625106746370623,0.17648733276401934,6.666666666666667,2.1514040849856905e-05,0.0,26.343767665326595,0,True,ownership_fraud
web_1,4180,15000,15000,2925,0.5016666666666667,0.5016666666666667,0.195,0.35000903016073687,2.2950980611673648e-05,0.2786666666666667,81.88234562100843,0,True,dedup_dos
web_1,0,8907,8907,1493,0.462669810261592,0.462669810261592,0.1676209722690019,0.21072603086263597,2.3070731388206466e-05,0.0,51.88086370564997,0,False,normal
web_1,0,4180,4180,1049,0.5155502392344498,0.5155502392344498,0.25095693779904304,0.2616822429906542,2.3093733617453062e-05,0.0,21.877153457608074,0,True,ownership_fraud
web_2,0,15000,15000,4937,0.0138,0.0138,0.32913333333333333,0.006463464416927473,2.226266047433583e-05,0.0,55.83102075802162,0,True,hash_probing
web_2,0,6970,6970,2357,0.0,0.0,0.33816355810616927,0.0,2.2152686354946047e-05,0.0,25.830865210853517,0,True,hash_probing
web_3,5987,15000,15000,8020,0.3900666666666667,0.3900666666666667,0.5346666666666666,1.3339285714285714,2.3641315748927336e-05,0.39913333333333334,94.90719260601327,0,True,dedup_dos
web_3,904,10494,10494,5711,0.3902229845626072,0.3902229845626072,0.5442157423289499,1.552453131232549,2.3890613289175544e-05,0.08614446350295407,64.89810589281842,0,True,dedup_dos
web_3,0,5987,5987,3813,0.3054952396859863,0.3054952396859863,0.6368799064640054,1.0482758620689656,2.4520131319896193e-05,0.0,34.897949832025915,0,False,normal
web_3,0,904,904,372,0.6117256637168141,0.6117256637168141,0.41150442477876104,351.0,2.5306318613712285e-05,0.0,4.90443219570443,0,True,ownership_fraud
