client_id,requests_per_minute,requests_per_5_min,requests_per_hour,unique_hash_count,duplicate_ratio,pow_attempt_rate,hash_diversity,upload_to_query_ratio,inter_request_time_variance,burst_score,session_duration,cross_user_hash_overlap,is_anomaly,attack_label
casa1,15000,15000,15000,1528,0.8981333333333333,0.8981333333333333,0.10186666666666666,1528.0,2.7085275232895468e-06,1.0,4.735837772,1326,True,ownership_fraud
hm_1,15000,15000,15000,2428,0.13173333333333334,0.13173333333333334,0.16186666666666666,0.11202185792349727,1.5537150465152145e-05,1.0,31.769527911,283,True,hash_probing
casa2,15000,15000,15000,2255,0.8496666666666667,0.8496666666666667,0.15033333333333335,2255.0,1.4129092652963636e-06,1.0,2.4229331690003164,2183,True,ownership_fraud
mds_0,15000,15000,15000,2974,0.7818666666666667,0.7818666666666667,0.19826666666666667,2.809080325960419,2.0840852262406458e-05,1.0,53.40486679399328,1101,True,dedup_dos
mds_1,15000,15000,15000,8483,0.0322,0.0322,0.5655333333333333,0.06227133030879555,1.7472724894061628e-05,1.0,35.61482734899619,588,True,hash_probing
casa3,15000,15000,15000,2181,0.8546,0.8546,0.1454,1089.5,2.4245119257204585e-06,1.0,4.258584143011831,1851,True,ownership_fraud
prn_0,15000,15000,15000,3895,0.7376,0.7376,0.25966666666666666,6.983772819472617,1.6655316597046545e-05,1.0,34.56590499699814,318,True,dedup_dos
casa4,15000,15000,15000,3644,0.7565333333333333,0.7565333333333333,0.24293333333333333,53.507462686567166,2.0022143977986353e-06,1.0,3.4901216969883535,3590,True,ownership_fraud
casa5,15000,15000,15000,2328,0.8448,0.8448,0.1552,2328.0,1.0993798637762722e-06,1.0,2.022894782014191,2308,True,ownership_fraud
prn_1,15000,15000,15000,13147,0.007933333333333334,0.007933333333333334,0.8764666666666666,0.06422083959093185,1.4139695612256374e-05,1.0,27.07770609704312,161,True,hash_probing
casa6,15000,15000,15000,1222,0.9185333333333333,0.9185333333333333,0.08146666666666667,1222.0,2.512643434727542e-06,1.0,4.426798454020172,1094,True,ownership_fraud
proj_0,14756,15000,15000,3925,0.7150666666666666,0.7150666666666666,0.26166666666666666,1.684673366834171,2.1948639832051837e-05,0.9837333333333333,61.14935499499552,520,True,dedup_dos
casa7,15000,15000,15000,1319,0.9120666666666667,0.9120666666666667,0.08793333333333334,1318.0,2.470075730185541e-06,1.0,4.252227692981251,1202,True,ownership_fraud
proj_1,15000,15000,15000,10445,0.22453333333333333,0.22453333333333333,0.6963333333333334,3.6361100039856518,1.616122396356447e-05,1.0,31.99354203202529,17,True,dedup_dos
casa8,13912,13912,13912,1266,0.9072024151811385,0.9072024151811385,0.09100057504312824,15.766233766233766,2.204666320312947e-06,1.0,3.482664921088144,1266,True,ownership_fraud
proj_3,6505,15000,15000,5667,0.0692,0.0692,0.3778,0.06612706169822846,1.8290218695739062e-05,0.43366666666666664,120.21960686799139,85,True,hash_probing
casa9,15000,15000,15000,6222,0.4622,0.4622,0.4148,0.9791462217860648,8.549117864776452e-06,1.0,17.055000204010867,5992,True,dedup_dos
prxy_0,7433,15000,15000,3669,0.7545333333333333,0.7545333333333333,0.2446,9.958333333333334,1.8697021840802445e-05,0.4955333333333333,115.73972857405897,91,True,dedup_dos
rsrch_0,15000,15000,15000,3783,0.7478,0.7478,0.2522,44.57831325301205,1.2964075392929541e-05,1.0,23.745194186922163,845,True,dedup_dos
homes10,15000,15000,15000,3241,0.7683333333333333,0.7683333333333333,0.21606666666666666,13.126016260162602,8.84792892544495e-06,1.0,15.251660154084675,2598,True,dedup_dos
rsrch_1,13778,13778,13778,4210,0.6941500943533169,0.6941500943533169,0.3055595877485847,99.33333333333333,1.7244339008168847e-05,1.0,30.816059679025784,600,True,dedup_dos
homes11,15000,15000,15000,3613,0.7582,0.7582,0.24086666666666667,12.141304347826088,3.23710970343667e-06,1.0,5.322340396000072,1828,True,ownership_fraud
homes12,15000,15000,15000,3064,0.7924666666666667,0.7924666666666667,0.20426666666666668,58.86538461538461,9.730618431829015e-06,1.0,16.887443084968254,2105,True,dedup_dos
rsrch_2,15000,15000,15000,5960,0.3206,0.3206,0.3973333333333333,0.28657997727559653,2.062676369523136e-05,1.0,44.67641815694515,574,True,dedup_dos
src1_0,15000,15000,15000,8031,0.0448,0.0448,0.5354,0.2629352137505509,7.309664956029072e-06,1.0,13.274290231987834,1503,True,dedup_dos
homes13,15000,15000,15000,3262,0.7809333333333334,0.7809333333333334,0.21746666666666667,116.35714285714286,9.393444769969879e-06,1.0,16.15932466404047,1841,True,dedup_dos
homes14,15000,15000,15000,3271,0.781,0.781,0.21806666666666666,30.285714285714285,2.6326497664594996e-06,1.0,4.381319847190753,2848,True,ownership_fraud
src1_1,15000,15000,15000,6842,0.044866666666666666,0.044866666666666666,0.45613333333333334,0.27965344765987854,1.2903036768338386e-05,1.0,25.175768043845892,271,True,dedup_dos
src1_2,15000,15000,15000,4350,0.6337333333333334,0.6337333333333334,0.29,2.7046527309507753,8.434035451859478e-06,1.0,14.96560166706331,65,True,dedup_dos
homes15,15000,15000,15000,2640,0.824,0.824,0.176,1319.0,3.91231588207341e-06,1.0,6.444960780907422,2119,True,ownership_fraud
homes16,15000,15000,15000,3775,0.7474666666666666,0.7474666666666666,0.25166666666666665,221.8235294117647,2.8579745504577817e-06,1.0,4.756665220018476,3597,True,ownership_fraud
src2_0,15000,15000,15000,2439,0.7733333333333333,0.7733333333333333,0.1626,1.5166543301258326,1.4533139997177545e-05,1.0,27.172288571950048,696,True,dedup_dos
src2_1,15000,15000,15000,4116,0.2264,0.2264,0.2744,0.2181398278395969,1.5168044510983462e-05,1.0,29.31298871198669,1194,True,dedup_dos
homes17,15000,15000,15000,3052,0.7962666666666667,0.7962666666666667,0.20346666666666666,610.2,1.450112522087382e-06,1.0,2.52122833696194,2729,True,ownership_fraud
src2_2,10961,15000,15000,8606,0.082,0.082,0.5737333333333333,0.6249704979938636,2.456117751740505e-05,0.7307333333333333,62.4706623069942,599,True,dedup_dos
homes18,15000,15000,15000,2149,0.8567333333333333,0.8567333333333333,0.14326666666666665,2149.0,4.93939840148272e-06,1.0,8.153896623989567,1855,True,ownership_fraud
stg_0,15000,15000,15000,4234,0.5115333333333333,0.5115333333333333,0.28226666666666667,0.5107216494845361,1.1705744839034741e-05,1.0,21.57302076788619,458,True,dedup_dos
homes19,15000,15000,15000,1871,0.8752666666666666,0.8752666666666666,0.12473333333333333,1870.0,4.510009894099542e-06,1.0,7.525276109110564,1544,True,ownership_fraud
stg_1,15000,15000,15000,5445,0.6366666666666667,0.6366666666666667,0.363,680.25,9.56160904670654e-06,1.0,16.40586326015182,1003,True,dedup_dos
homes1,15000,15000,15000,3271,0.7818,0.7818,0.21806666666666666,1635.5,1.0563802918202086e-05,1.0,18.430827703792602,2184,True,dedup_dos
ts_0,15000,15000,15000,5078,0.2770666666666667,0.2770666666666667,0.33853333333333335,0.15546084176877997,1.144905954012494e-05,1.0,23.668877606047317,519,True,hash_probing
homes20,15000,15000,15000,2194,0.8520666666666666,0.8520666666666666,0.14626666666666666,27.818181818181817,3.0520838230939443e-06,1.0,4.987377092940733,1930,True,ownership_fraud
homes21,15000,15000,15000,6815,0.43593333333333334,0.43593333333333334,0.4543333333333333,1.2022384174908902,6.841442472589531e-06,1.0,13.691397805931047,6634,True,dedup_dos
usr_0,14146,15000,15000,3941,0.7053333333333334,0.7053333333333334,0.2627333333333333,1.7017114914425429,2.1680736613320625e-05,0.9430666666666667,64.04912156006321,868,True,dedup_dos
usr_1,15000,15000,15000,9012,0.23506666666666667,0.23506666666666667,0.6008,0.4076800392589866,1.8939725990720617e-05,1.0,41.80296636582352,11,True,dedup_dos
homes2,15000,15000,15000,4218,0.7186666666666667,0.7186666666666667,0.2812,1405.6666666666667,1.0106919652019718e-05,1.0,17.523536199936643,3173,True,dedup_dos
homes3,9005,15000,15000,7921,0.1686,0.1686,0.5280666666666667,0.12028386633129716,2.4749364192186824e-05,0.6003333333333334,81.99908262304962,948,True,hash_probing
